,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-0.37,-0.98,0,0,0,0,2,2
0,-0.36,-0.98,0,0,0,0,2,2
0,-0.35,-0.98,0,0,0,0,2,2
0,-0.33999999999999997,-0.98,0,0,0,0,2,2
0,-0.32999999999999996,-0.98,0,0,0,0,2,2
0,-0.31999999999999995,-0.98,0,0,0,0,2,2
0,-0.30999999999999994,-0.98,0,0,0,0,2,2
0,-0.29999999999999993,-0.98,0,0,0,0,2,2
0,-0.29000000000000004,-0.98,0,0,0,0,2,2
0,-0.28,-0.98,0,0,0,0,2,2
0,-0.27,-0.98,0,0,0,0,2,2
0,-0.26,-0.98,0,0,0,0,2,2
0,-0.25,-0.98,0,0,0,0,2,2
0,-0.24,-0.98,0,0,0,0,2,2
0,-0.22999999999999998,-0.98,0,0,0,0,2,2
0,-0.21999999999999997,-0.98,0,0,0,0,2,2
0,-0.20999999999999996,-0.98,0,0,0,0,2,2
0,-0.19999999999999996,-0.98,0,0,0,0,2,2
0,-0.18999999999999995,-0.98,0,0,0,0,2,2
0,-0.17999999999999994,-0.98,0,0,0,0,2,2
0,-0.16999999999999993,-0.98,0,0,0,0,2,2
0,-0.16000000000000003,-0.98,0,0,0,0,2,2
0,-0.15000000000000002,-0.98,0,0,0,0,2,2
0,-0.14,-0.98,0,0,0,0,2,2
0,-0.13,-0.98,0,0,0,0,2,2
0,-0.12,-0.98,0,0,0,0,2,2
0,-0.10999999999999999,-0.98,0,0,0,0,2,2
0,-0.09999999999999998,-0.98,0,0,0,0,2,2
0,-0.08999999999999997,-0.98,0,0,0,0,2,2
0,-0.07999999999999996,-0.98,0,0,0,0,2,2
0,-0.06999999999999995,-0.98,0,0,0,0,2,2
0,-0.05999999999999994,-0.98,0,0,0,0,2,2
0,-0.04999999999999993,-0.98,0,0,0,0,2,2
0,-0.040000000000000036,-0.98,0,0,0,0,2,2
0,-0.030000000000000027,-0.98,0,0,0,0,2,2
0,-0.020000000000000018,-0.98,0,0,0,0,2,2
0,-0.010000000000000009,-0.98,0,0,0,0,2,2
0,0.0,-0.98,0,0,0,0,2,2
0,0.010000000000000009,-0.98,0,0,0,0,2,2
0,0.020000000000000018,-0.98,0,0,0,0,2,2
0,0.030000000000000027,-0.98,0,0,0,0,2,2
0,0.040000000000000036,-0.98,0,0,0,0,2,2
0,0.050000000000000044,-0.98,0,0,0,0,2,2
0,0.06000000000000005,-0.98,0,0,0,0,2,2
0,0.07000000000000006,-0.98,0,0,0,0,2,2
0,0.08000000000000007,-0.98,0,0,0,0,2,2
0,0.09000000000000008,-0.98,0,0,0,0,2,2
0,0.10000000000000009,-0.98,0,0,0,0,2,2
0,0.1100000000000001,-0.98,0,0,0,0,2,2
0,0.1200000000000001,-0.98,0,0,0,0,2,2
0,0.13000000000000012,-0.98,0,0,0,0,2,2
0,0.14000000000000012,-0.98,0,0,0,0,2,2
0,0.15000000000000013,-0.98,0,0,0,0,2,2
0,0.15999999999999992,-0.98,0,0,0,0,2,2
0,0.16999999999999993,-0.98,0,0,0,0,2,2
0,0.17999999999999994,-0.98,0,0,0,0,2,2
0,0.18999999999999995,-0.98,0,0,0,0,2,2
0,0.19999999999999996,-0.98,0,0,0,0,2,2
0,0.20999999999999996,-0.98,0,0,0,0,2,2
0,0.21999999999999997,-0.98,0,0,0,0,2,2
0,0.22999999999999998,-0.98,0,0,0,0,2,2
0,0.24,-0.98,0,0,0,0,2,2
