,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.55,-0.92,3.8000000000000003,0.21653947368421056,0.04661842105263158
0,-0.54,-0.92,2.1,0.37315714285714285,0.10303333333333334
0,-0.53,-0.92,2.0,0.37907500000000005,0.12092500000000002
0,-0.52,-0.92,2.0,0.373485,0.12651500000000002
0,-0.51,-0.92,2.0,0.37218000000000007,0.12782000000000002
0,-0.5,-0.92,2.2,0.3513545454545455,0.10319090909090911
0,-0.49,-0.92,2.1,0.3454142857142858,0.1307761904761905
0,-0.48,-0.92,2.1,0.3409190476190477,0.13527142857142857
0,-0.47,-0.92,2.1,0.3388285714285714,0.1373619047619048
0,-0.46,-0.92,2.1,0.33942380952380957,0.13676666666666668
0,-0.45,-0.92,2.1,0.3350571428571429,0.14113333333333333
0,-0.44,-0.92,2.1,0.33060476190476196,0.1455857142857143
0,-0.43,-0.92,2.1,0.3259,0.1502904761904762
0,-0.42,-0.92,2.1,0.33002857142857145,0.14616190476190477
0,-0.41,-0.92,2.2,0.3134909090909091,0.14105454545454546
0,-0.4,-0.92,2.2,0.3105045454545455,0.1440409090909091
0,-0.39,-0.92,2.2,0.30370454545454545,0.1508409090909091
0,0.3800000000000001,-0.92,1.7000000000000002,0.1343529411764706,0.4538823529411765
0,-0.64,-0.91,7.7,0.12965844155844158,0.0002116883116883117
0,-0.63,-0.91,3.8000000000000003,0.24736578947368423,0.015792105263157896
0,-0.62,-0.91,4.1000000000000005,0.2252341463414634,0.01866829268292683
0,-0.61,-0.91,4.4,0.20692272727272726,0.020350000000000004
0,-0.6,-0.91,4.5,0.19924222222222224,0.022980000000000004
0,-0.59,-0.91,7.4,0.11882162162162163,0.016313513513513515
0,-0.5800000000000001,-0.91,6.7,0.12932388059701494,0.019929850746268657
0,-0.5700000000000001,-0.91,6.0,0.14236833333333335,0.02429833333333333
0,-0.56,-0.91,5.300000000000001,0.15875849056603772,0.02992075471698113
0,-0.55,-0.91,4.6000000000000005,0.17983478260869565,0.03755652173913043
0,-0.54,-0.91,2.3000000000000003,0.34982608695652173,0.08495652173913044
0,-0.53,-0.91,2.0,0.38162,0.11838
0,-0.52,-0.91,2.0,0.37612,0.12388
0,-0.51,-0.91,2.0,0.37140000000000006,0.1286
0,-0.5,-0.91,2.2,0.3544545454545455,0.10009090909090909
0,-0.49,-0.91,2.2,0.3316636363636364,0.12288181818181818
0,-0.48,-0.91,2.1,0.3484619047619048,0.12772857142857144
0,-0.47,-0.91,2.1,0.3452476190476191,0.13094285714285717
0,-0.46,-0.91,2.1,0.337852380952381,0.13833809523809523
0,-0.45,-0.91,2.1,0.3359619047619048,0.14022857142857142
0,-0.44,-0.91,2.1,0.3339904761904762,0.14220000000000002
0,-0.43,-0.91,2.1,0.3324904761904762,0.14370000000000002
0,-0.42,-0.91,2.2,0.3083636363636364,0.1461818181818182
0,-0.41,-0.91,2.2,0.3103772727272728,0.14416818181818183
0,-0.4,-0.91,2.2,0.30717727272727274,0.14736818181818181
0,-0.39,-0.91,2.2,0.3044318181818182,0.15011363636363637
0,-0.38,-0.91,2.2,0.3029454545454545,0.15159999999999998
0,0.3800000000000001,-0.91,1.7000000000000002,0.13498235294117647,0.45325294117647064
0,-0.63,-0.9,3.6,0.264125,0.01365277777777778
0,-0.62,-0.9,4.1000000000000005,0.22672682926829268,0.017175609756097557
0,-0.61,-0.9,4.4,0.20773863636363638,0.01953409090909091
0,-0.6,-0.9,4.5,0.20064222222222225,0.021580000000000002
