,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,3.0,-1.7999999999999998,1,0,0,1,0
0,3.0,-1.4,1,0,0,1,0
0,3.0,-1.0,1,0,0,1,0
0,3.0,-0.5999999999999996,1,0,0,1,0
0,3.0,-0.1999999999999993,1,0,0,1,0
0,3.0,0.20000000000000018,1,0,0,1,0
0,3.0,0.6000000000000005,2,1,0,1,3
0,3.0,1.0,2,0,0,1,0
0,3.0,1.4000000000000004,2,0,0,1,0
0,3.0,1.8000000000000007,2,0,0,1,0
0,3.0,2.2,1,0,0,1,0
0,3.0,2.6000000000000005,1,0,0,1,0
0,3.0,3.0,1,0,0,1,0
