,I_e,I_i,dom_frequ,up_space,down_space
0,-0.1777777777777778,-1.6444444444444444,5.0,7.187499999999999,2.8125
0,-0.1777777777777778,-1.6,5.0,7.03125,2.96875
0,-0.1777777777777778,-1.5555555555555556,5.0,6.875000000000001,3.125
0,-0.1777777777777778,-1.511111111111111,5.0,6.796874999999999,3.2031249999999996
0,-0.1777777777777778,-1.4666666666666668,5.0,6.640625,3.359375
0,-0.1777777777777778,-1.422222222222222,6.0,5.338541666666666,2.994791666666667
0,-0.1777777777777778,-1.3777777777777778,6.0,5.208333333333334,3.125
0,-0.1777777777777778,-1.3333333333333333,5.0,6.328125,3.671875
0,-0.1777777777777778,-1.2888888888888888,5.0,6.171875,3.8281250000000004
0,-0.1777777777777778,-1.2444444444444445,5.0,6.09375,3.90625
0,-0.1777777777777778,-1.2,5.0,6.015625,3.9843749999999996
0,-0.1777777777777778,-1.1555555555555554,6.0,4.817708333333334,3.515625
0,-0.1777777777777778,-1.1111111111111112,6.0,4.557291666666666,3.7760416666666665
0,-0.1777777777777778,-1.0666666666666669,5.0,5.546875,4.453125
0,-0.1777777777777778,-1.022222222222222,6.0,4.427083333333334,3.90625
0,-0.1777777777777778,-0.9777777777777776,6.0,4.427083333333334,3.90625
0,-0.1777777777777778,-0.9333333333333332,6.0,4.296875,4.036458333333334
0,-0.1777777777777778,-0.8888888888888888,6.0,4.166666666666666,4.166666666666666
0,-0.1777777777777778,-0.8444444444444443,6.0,4.166666666666666,4.166666666666666
0,-0.1777777777777778,-0.8,6.0,4.036458333333334,4.296875
0,-0.1777777777777778,-0.7555555555555555,6.0,4.036458333333334,4.296875
0,-0.1777777777777778,-0.711111111111111,6.0,3.90625,4.427083333333334
0,-0.1777777777777778,-0.6666666666666665,6.0,3.6458333333333335,4.6875
0,-0.1777777777777778,-0.6222222222222222,6.0,3.6458333333333335,4.6875
0,-0.1777777777777778,-0.5777777777777777,6.0,3.515625,4.817708333333334
0,-0.1777777777777778,-0.5333333333333332,6.0,3.3854166666666665,4.947916666666666
0,-0.1777777777777778,-0.4888888888888889,6.0,3.2552083333333335,5.078125
